Epoch Number 1 - Training Accuracy: 96.22500000000001 | Validation Error: 95.92500000000001 | Generalization Accuracy: 95.675
Epoch Number 2 - Training Accuracy: 95.89166666666667 | Validation Error: 95.65 | Generalization Accuracy: 95.35
Epoch Number 3 - Training Accuracy: 97.6 | Validation Error: 98.05 | Generalization Accuracy: 98.25
Epoch Number 4 - Training Accuracy: 98.4 | Validation Error: 98.55000000000001 | Generalization Accuracy: 98.5
Epoch Number 5 - Training Accuracy: 98.60833333333333 | Validation Error: 98.725 | Generalization Accuracy: 98.52499999999999
Epoch Number 6 - Training Accuracy: 98.80833333333334 | Validation Error: 98.775 | Generalization Accuracy: 98.575
Epoch Number 7 - Training Accuracy: 98.84166666666667 | Validation Error: 98.8 | Generalization Accuracy: 98.625
Epoch Number 8 - Training Accuracy: 98.875 | Validation Error: 98.775 | Generalization Accuracy: 98.65
Epoch Number 9 - Training Accuracy: 98.86666666666667 | Validation Error: 98.8 | Generalization Accuracy: 98.65
Epoch Number 10 - Training Accuracy: 98.90833333333333 | Validation Error: 98.825 | Generalization Accuracy: 98.65
Epoch Number 11 - Training Accuracy: 98.925 | Validation Error: 98.775 | Generalization Accuracy: 98.65
Epoch Number 12 - Training Accuracy: 98.93333333333332 | Validation Error: 98.8 | Generalization Accuracy: 98.575
Epoch Number 13 - Training Accuracy: 98.96666666666667 | Validation Error: 98.875 | Generalization Accuracy: 98.575
Epoch Number 14 - Training Accuracy: 98.97500000000001 | Validation Error: 98.85000000000001 | Generalization Accuracy: 98.55000000000001
Epoch Number 15 - Training Accuracy: 99.0 | Validation Error: 98.875 | Generalization Accuracy: 98.55000000000001
Epoch Number 16 - Training Accuracy: 99.00833333333333 | Validation Error: 98.875 | Generalization Accuracy: 98.55000000000001
Epoch Number 17 - Training Accuracy: 99.01666666666667 | Validation Error: 98.85000000000001 | Generalization Accuracy: 98.575
Epoch Number 18 - Training Accuracy: 99.01666666666667 | Validation Error: 98.875 | Generalization Accuracy: 98.55000000000001
Epoch Number 19 - Training Accuracy: 99.03333333333333 | Validation Error: 98.9 | Generalization Accuracy: 98.55000000000001
Epoch Number 20 - Training Accuracy: 99.03333333333333 | Validation Error: 98.9 | Generalization Accuracy: 98.575
Epoch Number 21 - Training Accuracy: 99.04166666666666 | Validation Error: 98.85000000000001 | Generalization Accuracy: 98.575
Epoch Number 22 - Training Accuracy: 99.04166666666666 | Validation Error: 98.85000000000001 | Generalization Accuracy: 98.575
Epoch Number 23 - Training Accuracy: 99.05000000000001 | Validation Error: 98.85000000000001 | Generalization Accuracy: 98.6
Epoch Number 24 - Training Accuracy: 99.06666666666666 | Validation Error: 98.85000000000001 | Generalization Accuracy: 98.625
